mcode_county,SSP126_2025,SSP126_2030,SSP126_2035,SSP126_2040,SSP126_2045,SSP126_2050,SSP126_2055,SSP126_2060
410181,52.99843735059499,39.12812736203631,36.00927487951732,31.851144132459744,26.009000679980502,22.592230947644143,19.7827279031796,16.954668981794413
410182,54.177733418152954,40.01521008526351,36.80668429295689,32.55199245762684,26.604289148620573,23.077592974368546,20.17620979059933,17.29445961964963
410183,49.31391533063998,36.911078586403065,33.325876108982975,29.466284172029585,24.545446501013714,21.29185581198681,18.582759215785337,15.927105305138129
410184,52.29801862695363,39.44073483897529,35.33365410195896,31.214031924716668,26.15838245064045,22.659386184779354,19.724817585609948,17.013476139689494
410185,44.689942002321295,33.16018420600553,30.19733644398711,26.723987742376295,22.127983908666753,19.2650681089794,16.87533220272109,14.39128566595188
410202,47.2919991169237,34.61896058226283,31.996793968318254,28.419530013946634,23.325976972971887,20.363142974735926,17.77966740500436,15.197551380608177
410203,44.31673551748877,32.18774670150182,29.93513281965909,26.64085100415635,21.805438879254748,19.082626674518192,16.669310972380313,14.211622261756087
410204,45.00957798631224,32.90725644059377,30.451167603714826,27.062765892237834,22.21193714599087,19.410179310302215,16.95707840560234,14.488348885513332
410205,44.4438924123163,32.35711894884501,30.022024561117775,26.706663502569064,21.902059473730116,19.16636898729899,16.749509330645,14.290316914532282
410212,44.128282806481415,32.134047311871036,29.766351106232165,26.485838509830707,21.776787892351418,19.076150661026503,16.678834581320693,14.21906539331017
410221,41.002959295142176,29.572819844650883,27.325563496027936,24.301280025090264,20.015289115115397,17.54653578366318,15.304833965987386,12.955227430212977
410222,42.62497655872886,30.94643889801687,28.6065618800246,25.47659959510037,21.06817060860325,18.52610233139231,16.237242998292988,13.814987046642395
410223,46.98762271557517,34.61844704221501,31.600937561956165,28.045444959961056,23.321721799318354,20.40350571265336,17.840136525647292,15.226160767237936
410225,42.0417991409563,30.472733538402114,28.301324892597847,25.216352208488523,20.670410631581966,18.049463187902724,15.680758715684101,13.278191366111894
410302,48.25202273582209,35.16395017893893,32.46706758525278,28.63318911578556,23.134057539238782,20.07489586290157,17.535351071292414,15.077643108367935
410303,46.71032104720808,34.46387303887981,31.48149284173364,27.75526794113525,22.701734188811418,19.69124244990414,17.16009900635236,14.772233798242592
410304,50.61365287597865,37.452809102567905,34.1120429234962,30.058715752379534,24.63438478104056,21.348312938376647,18.58586873224337,16.020833541269173
410305,43.79876796219447,32.1999039081678,29.514200312144137,26.0334312096034,21.23781000490058,18.438518277912923,16.08753414268363,13.83427664776371
410306,50.05683775274721,35.433208584622164,33.63057151575611,29.75043691380383,23.423590413348315,20.414873135416475,17.99087139335397,15.421147038512034
410311,46.94953341362757,34.76680285314758,31.674986805467935,27.919916559292155,22.89458270945427,19.848162931798726,17.286594032004857,14.888489248724598
410322,48.28464298331754,34.58039054825241,32.49828845895773,28.72824322017906,22.86151345244282,19.90972078489748,17.49831668311783,15.02080362667776
410323,39.19529254824153,27.487997138975906,26.338499308257266,23.3285806004386,18.26487367099208,15.99704962377395,14.15386770627838,12.128257705584534
410324,23.80514034792378,17.438375490143866,16.00337900583226,14.16316733627433,11.713309039898327,10.307243301303586,9.231049628678774,7.9162688729980335
410325,25.825464460392855,18.817128311642936,17.28385943206355,15.28659461546551,12.596441394385588,11.058716763980499,9.837936302727076,8.408057641142364
410326,28.770515043353605,20.882329447820265,19.147397267809033,16.91000048630607,13.891907416332756,12.152805274173826,10.71867841837969,9.125043037557324
410327,32.569873985351514,23.529600436741912,21.88736019746353,19.355924873352045,15.652930881040838,13.681591691611569,12.055751625424653,10.32505041710862
410328,26.23126837472822,18.861487235924983,17.629190326224773,15.61465469553219,12.642313165185945,11.120159290220641,9.921955344449424,8.520015827195186
410329,35.667500991831695,26.093831361364458,23.94807358557453,21.163553480156338,17.35133676597962,15.138758265946153,13.280669467524158,11.369183120914585
410381,52.95723082616447,39.066303872147664,35.860280884781915,31.679526610875243,25.866368250868632,22.462852439619084,19.649934288965497,16.853755745082136
410402,38.439100333694455,27.92281261432115,25.082973434949583,21.999923943874492,18.198488575397025,15.776168552068262,13.69407994815203,11.528939458891129
410403,42.896490366001636,31.28884255948677,28.06639914202364,24.6305996557485,20.425497560917496,17.708106499869537,15.36601547887335,12.953502585340853
410404,32.16734241851389,23.105201150701472,21.055992654904927,18.497729103859157,15.138618991064698,13.16766473471302,11.514288783726627,9.701108322894736
410411,39.38666530502986,28.68691475735951,25.651474877971463,22.481803055462755,18.655241484446066,16.159327921116184,14.007114926560293,11.796463035132778
410421,35.83359707681013,25.84602090145266,23.46375585046442,20.610250327753143,16.926354146593436,14.709890231485595,12.833032115726901,10.806617517327064
410422,38.11822721409939,27.779782203772978,24.851390376165064,21.80663036773759,18.13432543651582,15.737670819268875,13.670467200254157,11.497948129291403
410423,29.968077744320137,21.666398389850976,19.63518294505127,17.251548560181632,14.203867986920766,12.362307527855519,10.836329281922616,9.13119602605331
410425,41.25992234450498,29.936890207692365,27.074111832739526,23.776777150162832,19.57731397241218,16.985689479580756,14.77955958975505,12.443876766913563
410481,35.06731888172623,25.43921719009431,22.81966630447151,20.074827062110113,16.746539388887474,14.602078291456609,12.73644740560157,10.6560866468636
410482,35.0676421031197,25.458570889628877,23.19597306152939,20.429559494640426,16.781983142822064,14.609580102298294,12.794220678229308,10.828550365106038
410502,48.47998022554131,32.6938800820477,33.442637225917494,29.631395371210626,21.645982955362154,18.70614208445703,16.352907325415853,14.224465506860657
410503,51.68097604823439,34.85001213909828,35.6477416378178,31.547998123626186,22.93408484671214,19.77598519586537,17.282163010068135,15.089176631463717
410505,53.16654834094113,36.380201387731994,36.55886804861564,32.3290550372372,23.84563460741957,20.550513386073177,17.963311390844108,15.70647992034481
410506,47.48740290233066,32.65181881201014,32.59910717915649,28.851222680459504,21.50199485804936,18.56724258141041,16.237457997598295,14.137595439190498
410522,50.725605169196236,34.01934780283921,35.02470695419469,31.02085937563968,22.44719209225605,19.38189225112936,16.975158667474293,14.812643838511583
410523,46.48204607298113,32.14603591046921,31.91336115310861,28.323757310109595,21.46458888383557,18.62372401896609,16.293306007277064,14.076306144872754
410526,45.07118727526027,32.11936531541486,30.679384567338513,27.30251122383936,21.719835187969345,18.945173251322686,16.520202234104172,14.126654838640498
