mcode_county,his_2015,his_2016,his_2017,his_2018,his_2019,his_2020
430422,54.156955859969536,50.15859969558595,50.10094368340939,46.21083713850836,47.579969558599736,35.93485540334854
430423,55.41369863013698,50.96831447290052,50.47254318046458,46.91173317450865,48.207027992852915,35.34889815366291
430424,55.47621419676213,51.384142797841385,51.31183063511833,47.26334578663344,47.57310087173102,34.89829804898297
430426,49.41119373776909,44.199452054794506,43.905048923679054,41.32054794520549,42.90919765166339,34.891428571428584
430481,50.92582191780821,48.10191780821915,47.24801369863012,43.02013698630135,44.3115753424657,34.18513698630138
430482,45.53698630136985,42.15981735159819,42.27374429223744,38.83432267884322,40.344063926940635,34.41613394216136
430502,55.50342465753425,49.211643835616435,49.597945205479455,44.03013698630137,44.16917808219178,34.842465753424655
430503,53.91232876712327,48.05251141552512,48.63515981735161,43.16210045662099,43.28173515981734,34.33150684931505
430511,56.021369863013696,50.10684931506848,51.047123287671255,44.68602739726029,44.1194520547945,34.87671232876711
430522,52.10088062622309,46.494227005870876,46.10371819960859,41.21369863013699,41.20919765166339,31.73972602739726
430523,46.56856925418563,40.707077625570776,41.08021308980212,37.544672754946724,38.35791476407913,31.701522070015248
430524,43.948727984344394,39.0196999347684,39.36836268754077,34.86784083496412,35.012654924983664,26.97906066536204
430525,41.47871158830065,36.59629766753054,37.2227323213625,33.33631988152534,33.26308774527953,25.936542021473528
430527,33.910197869101964,29.729802130898005,31.456681887366827,29.320000000000018,27.92115677321159,23.599817351598187
430528,35.76271299699298,30.92134981623787,32.03668559973273,29.709054460407607,29.293017039759448,25.80153691947878
430529,31.097646645591862,26.932209343168253,30.132279592553573,27.809483667017926,25.854302774850716,22.111134527572872
430581,39.696838777660666,35.260168598524764,35.54257112750264,31.776396206533196,31.14973656480506,26.79536354056903
430582,54.87220503756071,48.63446752098983,47.63650022094565,43.631639416703464,44.77092355280603,34.62430402121077
430602,58.031880448318795,51.364383561643834,52.356164383561676,47.22415940224158,45.27222914072229,35.97185554171857
430603,63.12054794520549,55.246575342465796,56.50849315068493,49.651780821917804,47.93589041095885,35.010136986301355
430611,53.93409436834091,47.52024353120243,47.73089802130899,46.208828006088254,46.5730593607306,35.72907153729071
430621,55.65479452054797,50.23625358394391,50.07142402038868,45.445109907613904,44.13787830519275,33.72379738770307
430623,54.473795846221854,47.089880689350416,47.21087052585063,47.09359257622626,47.93663278833403,36.57719840919134
430624,60.217047184170475,53.81826484018267,52.12876712328768,48.927752409944176,50.39888381532213,35.16489091831559
430626,55.137543533782186,50.6185279777107,49.493893661481266,41.93610401671696,40.53238913396796,28.584397492454137
430681,62.578837978271075,55.98507321681628,55.266792631081714,49.56806802078411,47.35890410958904,32.937175247992435
430682,59.85165189363408,53.512328767123286,54.08654311039486,46.71281224818692,45.310072522159544,34.22900886381951
430702,45.05479452054792,41.02415940224166,41.80049813200499,44.05354919053551,46.25977584059773,38.44408468244087
430703,45.824353120243515,40.5614611872146,41.3436834094368,43.84079147640795,45.23445966514456,36.742587519025875
430721,48.06872146118721,41.03801369863012,40.930479452054776,44.768835616438345,45.837671232876765,37.70593607305936
430722,45.57842465753425,41.49537671232877,41.47114726027397,43.409075342465755,45.95599315068493,36.57791095890411
430723,46.648331577098716,38.86856340007025,39.161081840533924,42.010818405338945,41.416719353705666,35.937618545837715
430724,46.78761167361527,39.145086360929156,40.254556283502104,42.61822513400839,42.23442525312686,35.90506253722453
430725,40.13445103250872,34.33056634635042,34.86436311592722,37.73935800449806,38.71801267634428,31.614966264567567
430726,42.169305781286255,35.991455769677295,36.12184815416763,35.44346412816345,35.700301834223325,27.40933364290688
